sentence,page,section_path,claim_type,strength,quantity,baseline,deadline,scope,slot_fill_score,source_file
"At the end of 2021 sales were back at the same level as before the pandemic and profitability was better than for several years, despite supply chain disruption and other geopolitical challenges.",3,How we report > 2021 – a strong recovery,achievement,achievement,2021,,,supply chain,0.67,data/raw/hm/2021_sustainability_report.pdf
Integrated sustainability In 2021 we took further steps to improve sustainability in all parts of the business.,4,CEO letter > CEO letter,other,,2021,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
"Our sustainability efforts were recognised on various occasions during the year, including being ranked second in the Fashion Transparency Index of 250 fashion brands.",4,CEO letter > CEO letter,achievement,achievement,250,,,,0.33,data/raw/hm/2021_sustainability_report.pdf
"Through our investment arm Co:lab we have around 20 investments in new companies – such as Re:newcell, Ambercycle and Infinited Fiber, which is developing new techniques within textiles recycling.",4,CEO letter > CEO letter,other,,20,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
"These companies’ solutions are now being scaled up and by investing early, we have secured access to these innovative sustainable materials.",4,CEO letter > CEO letter,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
Tripled the share of recycled materials used in our garments from 5.8 percent to 17.9 percent towards our goal 30 percent recycled materials by 2025.,6,H&M Group at a glance,target,,5.8 percent,,2025,,0.5,data/raw/hm/2021_sustainability_report.pdf
"Change in absolute in scope 1, 2 and 3 CO₂e emissions compared with 2019 baseline.",6,H&M Group at a glance,other,,"1,",2019,,Scope 1,1.0,data/raw/hm/2021_sustainability_report.pdf
"United by our values, we have an ambition to lead the change towards a circular and climate positive fashion industry, while being a fair and equal company.",7,billion SEK in cash flow from operating activities. 45,target,hedged,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"As in 2020, the pandemic, the consequences of climate change and the increasing digitalisation of society had the greatest impact on 2021.",13,Sales and stores per segment,other,,"2020,",2021,,,0.5,data/raw/hm/2021_sustainability_report.pdf
"We were the second highest scoring brand in the Fashion Transparency Index 2021, which ranks multiple companies according to how much information they disclose about suppliers, supply chain policies and practices, as well as their social and environmental impact.",13,Sales and stores per segment,achievement,achievement,"2021,",2021,,supply chain,1.0,data/raw/hm/2021_sustainability_report.pdf
"We joined the 2025 Recycled Polyester ­Challenge, a UN and Textile Exchange initiative for climate action.",13,Sales and stores per segment,attribute,,2025,,,,0.5,data/raw/hm/2021_sustainability_report.pdf
We have set a leading individual goal to only use recycled polyester by 2025 and to further scale up textile-to-textile recycling.,13,Sales and stores per segment,target,,2025,,2025,,0.5,data/raw/hm/2021_sustainability_report.pdf
"In 2021 the group was included in the Dow Jones Sustainability World Index for the tenth year running, scoring well above the industry average.",13,Sales and stores per segment,achievement,achievement,2021,,,,0.33,data/raw/hm/2021_sustainability_report.pdf
Textile Exchange named H&M Group as a leading company within fibre and material sourcing in its report Material Change which is one of the most extensive analyses of how the textile industry is progressing in its transition to more sustainable materials and a circular economy.,14,Sales and stores per segment > Leading company within fibre,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"The Looop machine transforms old clothes into new garments, thereby showing customers how old textiles can be recycled without using water or chemicals.",14,Sales and stores per segment > Looop machine,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
The H&M Foundation broadened its commitment and announced a new direction for tackling the world’s most urgent challenges in order to ­accelerate progress on achieving the UN ­Sustainable Development Goals for 2030.,14,Sales and stores per segment > The H&M Foundation,other,firm,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"Our EUR 500 million sustainability-linked bond (SLB) was amongst other things launched to contribute to our goal to reduce carbon emissions (scope 1,2 and 3) in absolute figures by 56 percent by 2030 (baseline 2019).",14,Sales and stores per segment > Sustainability-linked bond,target,hedged,500 million,,2030,Scope 1,0.75,data/raw/hm/2021_sustainability_report.pdf
The bond’s interest rate is tied to how well we succeed at using recycled materials and reducing greenhouse gas ­emissions.,14,Sales and stores per segment > Sustainability-linked bond,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"Diverse backgrounds, perspectives and skills within design, materials, craftsmanship, circularity, sustainability within for example material and circularity, customer needs and buying processes are enhanced by technology such as 3D design applications and AI capabilities to get the right product to the right point of sale at the right time.",17,Customer in focus > Our fashion and design,other,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
In late 2021 we launched the innovative circular design tool “Circulator” to underline our ambition to design all our products for circularity by 2025.,17,Customer in focus > Our fashion and design,target,hedged,2021,,2025,,0.5,data/raw/hm/2021_sustainability_report.pdf
Monki is a purpose-driven fashion brand that believes in sisterhood and the power of community and in contributing to a more sustainable fashion industry.,22,& Other Stories,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
Treadler is a B2B service that enables clients to utilise the group’s supply chain.,23,Our business ventures,other,,,,,supply chain,0.5,data/raw/hm/2021_sustainability_report.pdf
"Through our work to lead the change towards circular and climate positive fashion, we are increasing the share of recycled and more sustainably sourced materials and we are ­developing new revenue streams.",24,Our omni-model elevates the customer experience,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
First Hand: Our brands offer customers garments that are made from recycled and more sustainably sourced materials and are designed using a circular design and product development process.,25,Our omni-model elevates the customer experience,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
The textiles can then be recycled to create new fibres and garments.,25,Our omni-model elevates the customer experience,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
"It requires us to design and build stores based on circular principles — reduce, reuse, repair and recycle — and to use only recycled or other more sustainably sourced materials.",26,Second Chance,attribute,,,,,,0.0,data/raw/hm/2021_sustainability_report.pdf
